id,title,genre,plot
279,Thriller Movie 39,thriller,"A woman wakes up with no memory of the last three days, only a body in her trunk. An insurance investigator suspects a client's death was staged for a massive payout."
377,Family Movie 17,family,A family adopts a rescue horse that teaches them the meaning of patience and trust. Kids at a summer camp band together to solve the mystery of a hidden treasure.
232,Sci-Fi Movie 32,sci-fi,"Humanity's last colony must fend off an alien invasion using salvaged technology. A courier smuggles a mysterious artifact across a war-torn, radiation-scarred Earth."
386,Family Movie 26,family,A family adopts a rescue horse that teaches them the meaning of patience and trust. A young girl trains her injured falcon to fly again with her father's help.
78,Comedy Movie 38,comedy,"A man pretends to be his twin brother to win back his ex-girlfriend, with hilarious results. A disorganized wedding planner must save a disastrous celebrity wedding in 24 hours."
16,Action Movie 16,action,A stunt driver becomes entangled in a high-speed heist gone wrong across three countries. A rogue cop must stop a terrorist plot to bomb the city's subway system before rush hour.
392,Family Movie 32,family,A family adopts a rescue horse that teaches them the meaning of patience and trust. A young girl trains her injured falcon to fly again with her father's help.
272,Thriller Movie 32,thriller,"A stranger's arrival exposes long-buried secrets in a quiet suburban town. A woman wakes up with no memory of the last three days, only a body in her trunk."
1,Action Movie 1,action,Soldiers fight to defend a besieged outpost against overwhelming enemy forces. A former special forces operative is pulled back into action when his family is kidnapped by a ruthless arms dealer.
397,Family Movie 37,family,A family adopts a rescue horse that teaches them the meaning of patience and trust. A father and daughter reconnect on a summer road trip to visit national parks.
115,Drama Movie 35,drama,An immigrant family navigates cultural identity and hardship in a new country. Two brothers reconnect after decades apart to settle their late father's estate.
226,Sci-Fi Movie 26,sci-fi,A crew of astronauts discovers a signal from a planet that shouldn't have life. An AI designed to help humanity begins making decisions no one can predict or control.
263,Thriller Movie 23,thriller,"A woman wakes up with no memory of the last three days, only a body in her trunk. A programmer discovers his new app is being used to track and eliminate political dissidents."
105,Drama Movie 25,drama,An immigrant family navigates cultural identity and hardship in a new country. A daughter cares for her mother battling a degenerative illness while pursuing her dreams.
396,Family Movie 36,family,Siblings work together to save their grandfather's failing toy shop before Christmas. A family adopts a rescue horse that teaches them the meaning of patience and trust.
194,Romance Movie 34,romance,A workaholic executive falls for the free-spirited artist renovating her office building. A florist and a chef reconnect years after a summer romance that never got closure.
262,Thriller Movie 22,thriller,A detective races to catch a serial killer who leaves cryptic clues at every crime scene. A stranger's arrival exposes long-buried secrets in a quiet suburban town.
58,Comedy Movie 18,comedy,A family reunion turns into a series of embarrassing misunderstandings and pranks. An awkward intern is mistaken for the new CEO on his first day at a chaotic startup.
233,Sci-Fi Movie 33,sci-fi,An AI designed to help humanity begins making decisions no one can predict or control. A group of researchers on a distant space station battle a rapidly evolving organism.
117,Drama Movie 37,drama,A struggling single mother fights to keep custody of her children amid financial hardship. A war veteran struggles to readjust to civilian life after returning home.
114,Drama Movie 34,drama,Two brothers reconnect after decades apart to settle their late father's estate. An immigrant family navigates cultural identity and hardship in a new country.
343,Animation Movie 23,animation,A shy robot ventures beyond its factory to discover the world outside. Toys in a forgotten attic come to life to find their way back to their owner.
159,Horror Movie 39,horror,A young couple discovers their new home was built on the site of a horrific massacre. An archaeologist unleashes an ancient evil after opening a sealed tomb.
142,Horror Movie 22,horror,A babysitter is trapped in a house with something that isn't human.
382,Family Movie 22,family,A lonely boy befriends a stray dog who helps him make friends at his new school. A family adopts a rescue horse that teaches them the meaning of patience and trust.
56,Comedy Movie 16,comedy,A group of friends attempt a cross-country road trip that keeps going comically wrong.
77,Comedy Movie 37,comedy,An awkward intern is mistaken for the new CEO on his first day at a chaotic startup. A group of friends attempt a cross-country road trip that keeps going comically wrong.
26,Action Movie 26,action,A former special forces operative is pulled back into action when his family is kidnapped by a ruthless arms dealer. A stunt driver becomes entangled in a high-speed heist gone wrong across three countries.
83,Drama Movie 3,drama,A struggling single mother fights to keep custody of her children amid financial hardship. A daughter cares for her mother battling a degenerative illness while pursuing her dreams.
383,Family Movie 23,family,A young girl trains her injured falcon to fly again with her father's help. Kids at a summer camp band together to solve the mystery of a hidden treasure.
149,Horror Movie 29,horror,A group of campers is stalked by an unseen creature deep in the woods. Strange occurrences plague a hospital after a patient dies during a failed experiment.
182,Romance Movie 22,romance,Childhood friends realize their feelings for each other the night before one of them moves away. A florist and a chef reconnect years after a summer romance that never got closure.
23,Action Movie 23,action,An elite team of mercenaries is hired to take down a drug cartel controlling a border town. A rogue cop must stop a terrorist plot to bomb the city's subway system before rush hour.
174,Romance Movie 14,romance,Two rival bakery owners fall in love while competing in a city-wide baking contest.
47,Comedy Movie 7,comedy,"A man pretends to be his twin brother to win back his ex-girlfriend, with hilarious results. A disorganized wedding planner must save a disastrous celebrity wedding in 24 hours."
322,Animation Movie 2,animation,Two rival kingdoms of insects must unite against a common predator.
339,Animation Movie 19,animation,A gifted young wizard learns to control her powers with the help of a talking cat.
71,Comedy Movie 31,comedy,A group of friends attempt a cross-country road trip that keeps going comically wrong. A disorganized wedding planner must save a disastrous celebrity wedding in 24 hours.
375,Family Movie 15,family,A family adopts a rescue horse that teaches them the meaning of patience and trust. A young girl trains her injured falcon to fly again with her father's help.
40,Action Movie 40,action,Soldiers fight to defend a besieged outpost against overwhelming enemy forces. A rogue cop must stop a terrorist plot to bomb the city's subway system before rush hour.
224,Sci-Fi Movie 24,sci-fi,Humanity's last colony must fend off an alien invasion using salvaged technology. An AI designed to help humanity begins making decisions no one can predict or control.
173,Romance Movie 13,romance,Childhood friends realize their feelings for each other the night before one of them moves away. Two rival bakery owners fall in love while competing in a city-wide baking contest.
31,Action Movie 31,action,Soldiers fight to defend a besieged outpost against overwhelming enemy forces. A stunt driver becomes entangled in a high-speed heist gone wrong across three countries.
153,Horror Movie 33,horror,An archaeologist unleashes an ancient evil after opening a sealed tomb. A young couple discovers their new home was built on the site of a horrific massacre.
125,Horror Movie 5,horror,A group of campers is stalked by an unseen creature deep in the woods. A cursed video tape brings death to anyone who watches it within seven days.
295,Documentary Movie 15,documentary,Archival footage and interviews trace the history of a decades-long civil rights movement. A portrait of musicians keeping a fading regional folk tradition alive.
256,Thriller Movie 16,thriller,"A woman wakes up with no memory of the last three days, only a body in her trunk. A stranger's arrival exposes long-buried secrets in a quiet suburban town."
79,Comedy Movie 39,comedy,A disorganized wedding planner must save a disastrous celebrity wedding in 24 hours. An awkward intern is mistaken for the new CEO on his first day at a chaotic startup.
102,Drama Movie 22,drama,A struggling single mother fights to keep custody of her children amid financial hardship. A war veteran struggles to readjust to civilian life after returning home.
32,Action Movie 32,action,A retired assassin is forced out of hiding after a bounty is placed on his head. A former special forces operative is pulled back into action when his family is kidnapped by a ruthless arms dealer.
353,Animation Movie 33,animation,A young dragon must prove herself to her clan by embarking on a perilous quest. A shy robot ventures beyond its factory to discover the world outside.
269,Thriller Movie 29,thriller,A journalist uncovers a government cover-up that puts her life in danger. An insurance investigator suspects a client's death was staged for a massive payout.
395,Family Movie 35,family,A family adopts a rescue horse that teaches them the meaning of patience and trust. Kids at a summer camp band together to solve the mystery of a hidden treasure.
74,Comedy Movie 34,comedy,An awkward intern is mistaken for the new CEO on his first day at a chaotic startup.
321,Animation Movie 1,animation,A gifted young wizard learns to control her powers with the help of a talking cat. Two rival kingdoms of insects must unite against a common predator.
141,Horror Movie 21,horror,"A family moves into an old farmhouse, unaware of the malevolent spirit that resides within."
6,Action Movie 6,action,Soldiers fight to defend a besieged outpost against overwhelming enemy forces.
46,Comedy Movie 6,comedy,A family reunion turns into a series of embarrassing misunderstandings and pranks. A struggling actor takes a job as a clown for children's parties to pay rent.
389,Family Movie 29,family,A young girl trains her injured falcon to fly again with her father's help. A family adopts a rescue horse that teaches them the meaning of patience and trust.
247,Thriller Movie 7,thriller,A stranger's arrival exposes long-buried secrets in a quiet suburban town.
228,Sci-Fi Movie 28,sci-fi,"A scientist's time-travel experiment threatens to unravel the fabric of reality. In a dystopian future, a hacker uncovers a conspiracy controlling humanity's memories."
370,Family Movie 10,family,A young girl trains her injured falcon to fly again with her father's help. A lonely boy befriends a stray dog who helps him make friends at his new school.
177,Romance Movie 17,romance,A widow finds unexpected love with her late husband's best friend. Two rival bakery owners fall in love while competing in a city-wide baking contest.
290,Documentary Movie 10,documentary,A year in the life of wildlife rangers protecting an endangered species from poachers. A portrait of musicians keeping a fading regional folk tradition alive.
4,Action Movie 4,action,A rogue cop must stop a terrorist plot to bomb the city's subway system before rush hour.
19,Action Movie 19,action,A bodyguard races against time to protect a witness from a hitman sent to silence her. A former special forces operative is pulled back into action when his family is kidnapped by a ruthless arms dealer.
203,Sci-Fi Movie 3,sci-fi,An AI designed to help humanity begins making decisions no one can predict or control. A crew of astronauts discovers a signal from a planet that shouldn't have life.
251,Thriller Movie 11,thriller,A detective races to catch a serial killer who leaves cryptic clues at every crime scene.
275,Thriller Movie 35,thriller,A programmer discovers his new app is being used to track and eliminate political dissidents. An insurance investigator suspects a client's death was staged for a massive payout.
64,Comedy Movie 24,comedy,"A struggling actor takes a job as a clown for children's parties to pay rent. A man pretends to be his twin brother to win back his ex-girlfriend, with hilarious results."
249,Thriller Movie 9,thriller,A programmer discovers his new app is being used to track and eliminate political dissidents. A hostage negotiator must outwit a captor with a hidden agenda inside a besieged bank.
302,Documentary Movie 22,documentary,A portrait of musicians keeping a fading regional folk tradition alive. Archival footage and interviews trace the history of a decades-long civil rights movement.
109,Drama Movie 29,drama,A struggling single mother fights to keep custody of her children amid financial hardship. A war veteran struggles to readjust to civilian life after returning home.
91,Drama Movie 11,drama,A young woman confronts her estranged father after learning she has only months to live. A daughter cares for her mother battling a degenerative illness while pursuing her dreams.
234,Sci-Fi Movie 34,sci-fi,A scientist's time-travel experiment threatens to unravel the fabric of reality. An AI designed to help humanity begins making decisions no one can predict or control.
336,Animation Movie 16,animation,Animal friends in an enchanted forest band together to stop a greedy developer. Two rival kingdoms of insects must unite against a common predator.
119,Drama Movie 39,drama,A daughter cares for her mother battling a degenerative illness while pursuing her dreams. A teacher in an underfunded school works to inspire a group of at-risk students.
221,Sci-Fi Movie 21,sci-fi,A scientist's time-travel experiment threatens to unravel the fabric of reality. Humanity's last colony must fend off an alien invasion using salvaged technology.
181,Romance Movie 21,romance,Childhood friends realize their feelings for each other the night before one of them moves away.
315,Documentary Movie 35,documentary,Scientists document the effects of climate change on a remote arctic ecosystem. Filmmakers follow a community rebuilding after a devastating natural disaster.
374,Family Movie 14,family,A family adopts a rescue horse that teaches them the meaning of patience and trust. A city family adapts to life on a rural farm after inheriting it from a distant relative.
381,Family Movie 21,family,A city family adapts to life on a rural farm after inheriting it from a distant relative. A young girl trains her injured falcon to fly again with her father's help.
240,Sci-Fi Movie 40,sci-fi,"In a dystopian future, a hacker uncovers a conspiracy controlling humanity's memories. A scientist's time-travel experiment threatens to unravel the fabric of reality."
76,Comedy Movie 36,comedy,An awkward intern is mistaken for the new CEO on his first day at a chaotic startup. A group of friends attempt a cross-country road trip that keeps going comically wrong.
248,Thriller Movie 8,thriller,An insurance investigator suspects a client's death was staged for a massive payout. A journalist uncovers a government cover-up that puts her life in danger.
111,Drama Movie 31,drama,A young woman confronts her estranged father after learning she has only months to live. A war veteran struggles to readjust to civilian life after returning home.
17,Action Movie 17,action,A stunt driver becomes entangled in a high-speed heist gone wrong across three countries. A retired assassin is forced out of hiding after a bounty is placed on his head.
67,Comedy Movie 27,comedy,An awkward intern is mistaken for the new CEO on his first day at a chaotic startup. A family reunion turns into a series of embarrassing misunderstandings and pranks.
154,Horror Movie 34,horror,An archaeologist unleashes an ancient evil after opening a sealed tomb. A young couple discovers their new home was built on the site of a horrific massacre.
8,Action Movie 8,action,A retired assassin is forced out of hiding after a bounty is placed on his head. A stunt driver becomes entangled in a high-speed heist gone wrong across three countries.
20,Action Movie 20,action,A bodyguard races against time to protect a witness from a hitman sent to silence her.
138,Horror Movie 18,horror,"A family moves into an old farmhouse, unaware of the malevolent spirit that resides within. Strange occurrences plague a hospital after a patient dies during a failed experiment."
356,Animation Movie 36,animation,A shy robot ventures beyond its factory to discover the world outside. A young dragon must prove herself to her clan by embarking on a perilous quest.
350,Animation Movie 30,animation,Animal friends in an enchanted forest band together to stop a greedy developer. A boy discovers a portal to a magical realm hidden inside his grandmother's clock.
132,Horror Movie 12,horror,A young couple discovers their new home was built on the site of a horrific massacre. A babysitter is trapped in a house with something that isn't human.
388,Family Movie 28,family,Kids at a summer camp band together to solve the mystery of a hidden treasure. A father and daughter reconnect on a summer road trip to visit national parks.
293,Documentary Movie 13,documentary,An in-depth look at the rise and fall of a once-dominant tech company. A portrait of musicians keeping a fading regional folk tradition alive.
387,Family Movie 27,family,A father and daughter reconnect on a summer road trip to visit national parks. A family adopts a rescue horse that teaches them the meaning of patience and trust.
298,Documentary Movie 18,documentary,Filmmakers follow a community rebuilding after a devastating natural disaster. The film explores the untold story of workers who built a nation's railways.
61,Comedy Movie 21,comedy,A struggling actor takes a job as a clown for children's parties to pay rent.
80,Comedy Movie 40,comedy,A group of friends attempt a cross-country road trip that keeps going comically wrong. Two mismatched roommates accidentally start a food truck business that spirals into chaos.
286,Documentary Movie 6,documentary,The film explores the untold story of workers who built a nation's railways. A portrait of musicians keeping a fading regional folk tradition alive.
306,Documentary Movie 26,documentary,Scientists document the effects of climate change on a remote arctic ecosystem. Archival footage and interviews trace the history of a decades-long civil rights movement.
282,Documentary Movie 2,documentary,An in-depth look at the rise and fall of a once-dominant tech company. The film explores the untold story of workers who built a nation's railways.
158,Horror Movie 38,horror,A young couple discovers their new home was built on the site of a horrific massacre.
110,Drama Movie 30,drama,An immigrant family navigates cultural identity and hardship in a new country. A war veteran struggles to readjust to civilian life after returning home.
18,Action Movie 18,action,An elite team of mercenaries is hired to take down a drug cartel controlling a border town. A bodyguard races against time to protect a witness from a hitman sent to silence her.
348,Animation Movie 28,animation,Animal friends in an enchanted forest band together to stop a greedy developer. Two rival kingdoms of insects must unite against a common predator.
25,Action Movie 25,action,An elite team of mercenaries is hired to take down a drug cartel controlling a border town. A former special forces operative is pulled back into action when his family is kidnapped by a ruthless arms dealer.
176,Romance Movie 16,romance,"Two strangers fall in love during a chance encounter on a transatlantic flight. A journalist falls for the subject of her exposé, complicating her assignment."
352,Animation Movie 32,animation,Toys in a forgotten attic come to life to find their way back to their owner. Two rival kingdoms of insects must unite against a common predator.
333,Animation Movie 13,animation,Animal friends in an enchanted forest band together to stop a greedy developer. Two rival kingdoms of insects must unite against a common predator.
168,Romance Movie 8,romance,A widow finds unexpected love with her late husband's best friend. Childhood friends realize their feelings for each other the night before one of them moves away.
246,Thriller Movie 6,thriller,"A journalist uncovers a government cover-up that puts her life in danger. A woman wakes up with no memory of the last three days, only a body in her trunk."
312,Documentary Movie 32,documentary,Archival footage and interviews trace the history of a decades-long civil rights movement. The film explores the untold story of workers who built a nation's railways.
146,Horror Movie 26,horror,"A family moves into an old farmhouse, unaware of the malevolent spirit that resides within. Strange occurrences plague a hospital after a patient dies during a failed experiment."
259,Thriller Movie 19,thriller,A programmer discovers his new app is being used to track and eliminate political dissidents. A stranger's arrival exposes long-buried secrets in a quiet suburban town.
178,Romance Movie 18,romance,Two strangers fall in love during a chance encounter on a transatlantic flight.
120,Drama Movie 40,drama,An immigrant family navigates cultural identity and hardship in a new country. A young woman confronts her estranged father after learning she has only months to live.
195,Romance Movie 35,romance,Two strangers fall in love during a chance encounter on a transatlantic flight. A widow finds unexpected love with her late husband's best friend.
230,Sci-Fi Movie 30,sci-fi,"In a dystopian future, a hacker uncovers a conspiracy controlling humanity's memories. A scientist's time-travel experiment threatens to unravel the fabric of reality."
266,Thriller Movie 26,thriller,"A programmer discovers his new app is being used to track and eliminate political dissidents. A woman wakes up with no memory of the last three days, only a body in her trunk."
219,Sci-Fi Movie 19,sci-fi,"Humanity's last colony must fend off an alien invasion using salvaged technology. In a dystopian future, a hacker uncovers a conspiracy controlling humanity's memories."
308,Documentary Movie 28,documentary,Archival footage and interviews trace the history of a decades-long civil rights movement. An in-depth look at the rise and fall of a once-dominant tech company.
37,Action Movie 37,action,An elite team of mercenaries is hired to take down a drug cartel controlling a border town. A retired assassin is forced out of hiding after a bounty is placed on his head.
140,Horror Movie 20,horror,Strange occurrences plague a hospital after a patient dies during a failed experiment. A group of campers is stalked by an unseen creature deep in the woods.
292,Documentary Movie 12,documentary,A year in the life of wildlife rangers protecting an endangered species from poachers. An in-depth look at the rise and fall of a once-dominant tech company.
156,Horror Movie 36,horror,"A family moves into an old farmhouse, unaware of the malevolent spirit that resides within. A babysitter is trapped in a house with something that isn't human."
197,Romance Movie 37,romance,"Two strangers fall in love during a chance encounter on a transatlantic flight. A journalist falls for the subject of her exposé, complicating her assignment."
285,Documentary Movie 5,documentary,The film explores the untold story of workers who built a nation's railways. A portrait of musicians keeping a fading regional folk tradition alive.
60,Comedy Movie 20,comedy,"A man pretends to be his twin brother to win back his ex-girlfriend, with hilarious results. A struggling actor takes a job as a clown for children's parties to pay rent."
112,Drama Movie 32,drama,Two brothers reconnect after decades apart to settle their late father's estate. A teacher in an underfunded school works to inspire a group of at-risk students.
166,Romance Movie 6,romance,Two strangers fall in love during a chance encounter on a transatlantic flight. A florist and a chef reconnect years after a summer romance that never got closure.
364,Family Movie 4,family,A family adopts a rescue horse that teaches them the meaning of patience and trust.
7,Action Movie 7,action,A retired assassin is forced out of hiding after a bounty is placed on his head. A former special forces operative is pulled back into action when his family is kidnapped by a ruthless arms dealer.
334,Animation Movie 14,animation,A shy robot ventures beyond its factory to discover the world outside. A gifted young wizard learns to control her powers with the help of a talking cat.
276,Thriller Movie 36,thriller,A hostage negotiator must outwit a captor with a hidden agenda inside a besieged bank. A programmer discovers his new app is being used to track and eliminate political dissidents.
151,Horror Movie 31,horror,Strange occurrences plague a hospital after a patient dies during a failed experiment.
11,Action Movie 11,action,A rogue cop must stop a terrorist plot to bomb the city's subway system before rush hour. A retired assassin is forced out of hiding after a bounty is placed on his head.
193,Romance Movie 33,romance,A florist and a chef reconnect years after a summer romance that never got closure.
104,Drama Movie 24,drama,A daughter cares for her mother battling a degenerative illness while pursuing her dreams. Two brothers reconnect after decades apart to settle their late father's estate.
82,Drama Movie 2,drama,An immigrant family navigates cultural identity and hardship in a new country. A young woman confronts her estranged father after learning she has only months to live.
317,Documentary Movie 37,documentary,An in-depth look at the rise and fall of a once-dominant tech company. Archival footage and interviews trace the history of a decades-long civil rights movement.
399,Family Movie 39,family,A lonely boy befriends a stray dog who helps him make friends at his new school. Siblings work together to save their grandfather's failing toy shop before Christmas.
376,Family Movie 16,family,A lonely boy befriends a stray dog who helps him make friends at his new school.
209,Sci-Fi Movie 9,sci-fi,"An AI designed to help humanity begins making decisions no one can predict or control. In a dystopian future, a hacker uncovers a conspiracy controlling humanity's memories."
287,Documentary Movie 7,documentary,An in-depth look at the rise and fall of a once-dominant tech company. Archival footage and interviews trace the history of a decades-long civil rights movement.
169,Romance Movie 9,romance,A florist and a chef reconnect years after a summer romance that never got closure. Childhood friends realize their feelings for each other the night before one of them moves away.
354,Animation Movie 34,animation,A gifted young wizard learns to control her powers with the help of a talking cat. Two rival kingdoms of insects must unite against a common predator.
90,Drama Movie 10,drama,A war veteran struggles to readjust to civilian life after returning home. An immigrant family navigates cultural identity and hardship in a new country.
378,Family Movie 18,family,A father and daughter reconnect on a summer road trip to visit national parks. A young girl trains her injured falcon to fly again with her father's help.
164,Romance Movie 4,romance,"A journalist falls for the subject of her exposé, complicating her assignment. A workaholic executive falls for the free-spirited artist renovating her office building."
148,Horror Movie 28,horror,A babysitter is trapped in a house with something that isn't human. A young couple discovers their new home was built on the site of a horrific massacre.
229,Sci-Fi Movie 29,sci-fi,A scientist's time-travel experiment threatens to unravel the fabric of reality. A crew of astronauts discovers a signal from a planet that shouldn't have life.
93,Drama Movie 13,drama,A daughter cares for her mother battling a degenerative illness while pursuing her dreams. A war veteran struggles to readjust to civilian life after returning home.
70,Comedy Movie 30,comedy,A group of friends attempt a cross-country road trip that keeps going comically wrong. A family reunion turns into a series of embarrassing misunderstandings and pranks.
124,Horror Movie 4,horror,A young couple discovers their new home was built on the site of a horrific massacre. Strange occurrences plague a hospital after a patient dies during a failed experiment.
97,Drama Movie 17,drama,Two brothers reconnect after decades apart to settle their late father's estate. A teacher in an underfunded school works to inspire a group of at-risk students.
144,Horror Movie 24,horror,"A family moves into an old farmhouse, unaware of the malevolent spirit that resides within."
327,Animation Movie 7,animation,A gifted young wizard learns to control her powers with the help of a talking cat. A shy robot ventures beyond its factory to discover the world outside.
98,Drama Movie 18,drama,A struggling single mother fights to keep custody of her children amid financial hardship. A teacher in an underfunded school works to inspire a group of at-risk students.
239,Sci-Fi Movie 39,sci-fi,A group of researchers on a distant space station battle a rapidly evolving organism. A crew of astronauts discovers a signal from a planet that shouldn't have life.
69,Comedy Movie 29,comedy,A family reunion turns into a series of embarrassing misunderstandings and pranks. A group of friends attempt a cross-country road trip that keeps going comically wrong.
24,Action Movie 24,action,A rogue cop must stop a terrorist plot to bomb the city's subway system before rush hour. A bodyguard races against time to protect a witness from a hitman sent to silence her.
38,Action Movie 38,action,A rogue cop must stop a terrorist plot to bomb the city's subway system before rush hour. Soldiers fight to defend a besieged outpost against overwhelming enemy forces.
145,Horror Movie 25,horror,An archaeologist unleashes an ancient evil after opening a sealed tomb. A cursed video tape brings death to anyone who watches it within seven days.
123,Horror Movie 3,horror,A group of campers is stalked by an unseen creature deep in the woods. A babysitter is trapped in a house with something that isn't human.
183,Romance Movie 23,romance,Two rival bakery owners fall in love while competing in a city-wide baking contest. Childhood friends realize their feelings for each other the night before one of them moves away.
68,Comedy Movie 28,comedy,"A man pretends to be his twin brother to win back his ex-girlfriend, with hilarious results. A disorganized wedding planner must save a disastrous celebrity wedding in 24 hours."
199,Romance Movie 39,romance,Two strangers fall in love during a chance encounter on a transatlantic flight. A widow finds unexpected love with her late husband's best friend.
325,Animation Movie 5,animation,Animal friends in an enchanted forest band together to stop a greedy developer. A young dragon must prove herself to her clan by embarking on a perilous quest.
220,Sci-Fi Movie 20,sci-fi,A group of researchers on a distant space station battle a rapidly evolving organism.
318,Documentary Movie 38,documentary,Filmmakers follow a community rebuilding after a devastating natural disaster. The film explores the untold story of workers who built a nation's railways.
196,Romance Movie 36,romance,"A journalist falls for the subject of her exposé, complicating her assignment. A widow finds unexpected love with her late husband's best friend."
126,Horror Movie 6,horror,Strange occurrences plague a hospital after a patient dies during a failed experiment. An archaeologist unleashes an ancient evil after opening a sealed tomb.
147,Horror Movie 27,horror,A group of campers is stalked by an unseen creature deep in the woods. A cursed video tape brings death to anyone who watches it within seven days.
372,Family Movie 12,family,Kids at a summer camp band together to solve the mystery of a hidden treasure. A city family adapts to life on a rural farm after inheriting it from a distant relative.
87,Drama Movie 7,drama,A teacher in an underfunded school works to inspire a group of at-risk students.
337,Animation Movie 17,animation,Animal friends in an enchanted forest band together to stop a greedy developer. Two rival kingdoms of insects must unite against a common predator.
341,Animation Movie 21,animation,A gifted young wizard learns to control her powers with the help of a talking cat. A boy discovers a portal to a magical realm hidden inside his grandmother's clock.
338,Animation Movie 18,animation,Two rival kingdoms of insects must unite against a common predator. Toys in a forgotten attic come to life to find their way back to their owner.
355,Animation Movie 35,animation,Two rival kingdoms of insects must unite against a common predator. A gifted young wizard learns to control her powers with the help of a talking cat.
335,Animation Movie 15,animation,Toys in a forgotten attic come to life to find their way back to their owner.
303,Documentary Movie 23,documentary,Archival footage and interviews trace the history of a decades-long civil rights movement. The film explores the untold story of workers who built a nation's railways.
184,Romance Movie 24,romance,Two strangers fall in love during a chance encounter on a transatlantic flight. A florist and a chef reconnect years after a summer romance that never got closure.
204,Sci-Fi Movie 4,sci-fi,"A courier smuggles a mysterious artifact across a war-torn, radiation-scarred Earth. In a dystopian future, a hacker uncovers a conspiracy controlling humanity's memories."
284,Documentary Movie 4,documentary,A year in the life of wildlife rangers protecting an endangered species from poachers. A portrait of musicians keeping a fading regional folk tradition alive.
212,Sci-Fi Movie 12,sci-fi,A crew of astronauts discovers a signal from a planet that shouldn't have life. Humanity's last colony must fend off an alien invasion using salvaged technology.
283,Documentary Movie 3,documentary,Archival footage and interviews trace the history of a decades-long civil rights movement. A portrait of musicians keeping a fading regional folk tradition alive.
130,Horror Movie 10,horror,A babysitter is trapped in a house with something that isn't human. A group of campers is stalked by an unseen creature deep in the woods.
39,Action Movie 39,action,A former special forces operative is pulled back into action when his family is kidnapped by a ruthless arms dealer.
12,Action Movie 12,action,A retired assassin is forced out of hiding after a bounty is placed on his head. A former special forces operative is pulled back into action when his family is kidnapped by a ruthless arms dealer.
326,Animation Movie 6,animation,Two rival kingdoms of insects must unite against a common predator. A shy robot ventures beyond its factory to discover the world outside.
186,Romance Movie 26,romance,Childhood friends realize their feelings for each other the night before one of them moves away. A workaholic executive falls for the free-spirited artist renovating her office building.
223,Sci-Fi Movie 23,sci-fi,A crew of astronauts discovers a signal from a planet that shouldn't have life.
113,Drama Movie 33,drama,A young woman confronts her estranged father after learning she has only months to live.
180,Romance Movie 20,romance,A florist and a chef reconnect years after a summer romance that never got closure.
328,Animation Movie 8,animation,Two rival kingdoms of insects must unite against a common predator. A boy discovers a portal to a magical realm hidden inside his grandmother's clock.
300,Documentary Movie 20,documentary,Archival footage and interviews trace the history of a decades-long civil rights movement.
118,Drama Movie 38,drama,A young woman confronts her estranged father after learning she has only months to live.
369,Family Movie 9,family,A young girl trains her injured falcon to fly again with her father's help.
278,Thriller Movie 38,thriller,"A woman wakes up with no memory of the last three days, only a body in her trunk. An insurance investigator suspects a client's death was staged for a massive payout."
