CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
10074,470,France,Female,32,1,19758.08,3,1,0,23840.43,0
10075,546,Spain,Male,27,5,73460.36,4,0,0,138853.29,0
10076,520,Spain,Male,38,5,104021.73,1,0,1,57023.25,0
10077,402,Spain,Female,35,2,98980.28,1,0,0,29499.07,0
10078,831,Germany,Female,20,7,4375.65,3,1,1,69020.5,0
10079,504,France,Male,37,2,60501.07,4,1,0,28328.93,0
10080,745,France,Male,53,6,64594.1,2,1,1,90520.91,0
10081,558,Spain,Male,71,8,26404.35,2,0,0,98823.79,0
10082,593,Germany,Female,72,9,90200.13,3,0,1,43500.36,1
10083,423,France,Female,43,8,159099.78,2,1,0,22672.12,1
10084,773,Spain,Male,70,5,159046.76,3,1,1,128592.0,0
10085,697,Germany,Male,53,8,81026.38,4,0,1,105165.08,0
10086,805,Germany,Female,61,6,128411.59,4,0,1,96784.64,0
10087,374,France,Female,71,9,159236.55,1,1,1,144509.41,0
10088,522,France,Male,67,7,67253.75,3,1,0,25181.43,1
10089,560,France,Female,40,6,80293.42,1,0,0,83837.47,0
10090,825,France,Female,36,6,113700.64,2,0,0,17259.26,0
10091,507,Spain,Male,71,9,62628.92,3,1,0,131444.74,1
10092,808,France,Male,70,10,36003.45,3,1,0,128067.83,0
10093,808,Germany,Male,34,7,21614.08,3,0,1,65333.97,0
10094,796,France,Female,41,0,65157.92,3,0,1,92560.71,0
10095,411,Spain,Female,18,6,29106.53,1,0,0,113722.98,0
10096,599,France,Female,60,6,110689.82,3,1,1,100832.9,1
10097,388,France,Female,23,9,45735.29,3,0,0,107543.19,0
10098,696,France,Male,62,8,148989.19,3,0,1,47102.38,0
10099,512,France,Female,57,7,134489.86,2,1,1,111547.38,0
10100,675,Spain,Male,42,2,6163.7,4,0,0,114324.28,0
10101,829,Germany,Female,39,8,127049.83,1,0,0,78103.77,0
10102,380,France,Male,71,1,41943.36,3,0,1,85945.19,0
10103,589,Germany,Female,65,10,143736.5,2,1,0,66999.99,1
10104,837,Spain,Female,65,3,94575.27,4,0,1,95491.3,1
10105,786,France,Female,48,4,62564.82,1,0,0,137549.42,0
10106,433,Germany,Female,62,6,103767.41,4,1,0,14931.16,0
10107,371,Germany,Female,57,8,33321.2,2,1,1,117486.63,1
10108,848,France,Male,69,0,84157.37,1,0,0,112067.32,1
10109,744,Germany,Male,38,3,87401.3,2,1,1,70690.5,1
10110,586,Spain,Male,46,4,56952.48,2,1,0,39328.28,0
10111,706,Spain,Male,51,5,87587.05,2,1,1,97690.33,0
10112,564,France,Male,24,5,8235.25,2,0,0,116865.64,0
10113,838,Spain,Male,57,9,97418.93,4,1,0,31450.76,0
10114,695,France,Female,21,6,3787.81,1,0,0,88937.37,0
10115,442,Spain,Female,39,10,101222.54,2,0,1,114238.41,0
10116,621,Spain,Female,45,8,92626.22,4,0,1,47319.46,0
10117,406,France,Female,45,10,106208.5,1,1,1,125550.8,0
10118,594,France,Female,56,6,33831.15,3,0,0,86389.07,0
10119,837,Spain,Female,66,8,239330.57,4,1,0,20689.21,0
10120,527,France,Male,23,6,52876.51,2,1,0,126646.52,0
10121,817,Germany,Male,70,9,74568.56,3,1,0,14692.9,1
10122,381,Spain,Male,41,2,22839.79,3,1,1,125438.04,0
10123,607,Germany,Female,37,9,147741.87,4,1,1,87253.19,0
10124,737,Germany,Female,55,4,39174.91,3,0,1,10817.05,1
10125,800,France,Male,21,6,122863.93,2,0,0,31045.75,0
10126,613,France,Female,70,2,12229.67,3,0,0,27804.23,0
10127,761,France,Male,66,2,83944.9,3,0,0,100602.76,0
10128,756,France,Male,24,3,45109.76,4,0,0,117354.87,0
10129,639,France,Female,43,0,119464.74,2,1,0,60907.21,0
10130,710,Spain,Male,20,9,49784.92,4,1,1,100245.64,0
10131,582,Germany,Male,73,8,17196.97,4,1,0,88527.44,0
10132,425,France,Female,73,5,92253.83,1,0,0,130079.92,0
10133,362,France,Male,61,8,1498.76,2,0,1,43699.82,0
10134,477,Spain,Female,48,7,12011.62,1,0,0,27741.45,0
10135,687,France,Female,38,8,110382.63,4,1,0,67312.57,0
10136,788,Spain,Male,29,3,39974.78,1,0,1,126910.7,0
10137,723,Germany,Female,66,6,109973.48,2,1,0,45955.57,0
10138,359,Germany,Male,31,0,43931.34,2,0,0,124366.96,0
10139,643,Spain,Female,49,7,14676.11,4,0,1,22470.48,0
10140,797,Germany,Female,66,1,80753.37,4,0,1,130207.91,1
10141,729,Germany,Male,58,7,102867.37,3,0,0,72546.4,0
10142,651,France,Female,38,7,33692.16,1,0,1,126243.24,0
10143,590,Spain,Female,68,5,56976.73,4,0,1,75187.31,0
10144,532,France,Male,23,3,112575.56,1,0,1,83751.14,0
10145,467,Spain,Female,51,7,109926.03,1,1,1,107401.02,0
10146,736,France,Male,60,2,64244.26,1,1,1,33360.91,0
10147,824,France,Male,72,2,23422.55,4,0,1,13538.68,0
10148,623,Germany,Female,74,7,13480.66,1,1,1,64440.87,0
10149,390,Spain,Male,40,5,33434.33,2,1,1,28713.35,0
10150,757,France,Male,31,1,105936.84,1,0,0,41911.82,0
10151,485,Spain,Female,39,6,100187.12,1,0,0,33576.07,0
10152,593,Germany,Female,36,8,84708.75,2,1,1,26456.69,0
10153,452,Germany,Male,54,6,146513.19,3,1,1,128772.99,1
10154,640,Germany,Female,58,3,50525.92,1,1,0,97013.27,0
10155,654,Spain,Male,41,2,46043.74,1,1,0,59489.16,0
10156,369,France,Female,22,0,45794.33,3,1,0,134511.74,0
10157,581,France,Female,58,1,176112.11,3,0,1,11361.6,0
10158,682,France,Female,45,9,48943.06,4,0,1,137749.56,0
10159,636,France,Male,48,7,84273.72,3,0,1,121836.33,0
10160,405,France,Female,66,8,93140.84,1,0,1,75681.23,1
10161,583,Spain,Male,60,1,71409.02,1,1,0,141105.79,0
10162,776,Spain,Male,51,6,200303.83,3,0,1,58636.43,0
10163,655,France,Male,65,8,134377.05,1,1,0,29554.21,0
10164,521,Germany,Male,71,1,111741.88,4,0,0,24160.26,0
10165,403,France,Female,50,2,17215.64,1,1,1,112311.17,0
10166,685,Germany,Male,34,7,96359.56,3,1,0,51858.72,0
10167,535,Germany,Female,70,8,47140.78,3,1,0,47297.27,1
10168,693,France,Female,37,10,70758.17,2,1,1,122714.41,0
10169,623,Spain,Male,62,3,79664.18,3,1,1,131952.24,0
10170,790,France,Male,65,3,41073.17,4,1,1,63820.02,1
10171,653,Germany,Female,66,9,104192.87,4,0,1,58218.19,0
10172,561,Germany,Male,63,6,160678.49,2,0,1,82071.16,0
10173,568,France,Male,19,2,127105.43,2,1,0,66397.16,0
10174,694,France,Male,62,0,80785.85,1,1,0,133190.3,1
10175,375,France,Female,18,1,40676.05,1,1,0,84393.11,0
10176,402,Spain,Male,58,10,130092.72,1,1,0,47242.26,0
10177,699,Spain,Male,54,7,129617.91,3,1,1,10797.71,0
10178,650,Germany,Female,65,8,57821.44,4,1,0,142397.79,0
10179,600,France,Female,36,8,41803.56,4,1,0,57239.19,0
10180,802,Spain,Female,27,6,106043.97,4,1,1,141888.87,0
10181,831,Spain,Female,67,3,23149.25,3,0,1,134161.34,0
10182,734,Spain,Male,20,2,113911.72,3,0,0,69690.55,0
10183,521,Germany,Female,40,5,7971.35,2,0,0,42107.89,0
10184,383,Spain,Female,62,8,17003.7,1,0,1,111197.96,0
10185,690,France,Male,60,7,69953.96,2,1,1,23276.18,0
10186,733,France,Female,21,5,13153.02,1,0,0,18724.93,0
10187,371,France,Male,32,3,69221.65,3,1,0,14035.14,1
10188,672,France,Male,55,9,99176.29,2,0,0,89437.1,0
10189,692,France,Female,53,4,5071.21,4,1,1,119282.73,0
10190,725,France,Male,70,1,121459.73,3,0,1,100630.12,0
10191,383,Germany,Female,69,6,37559.78,1,0,1,139794.08,0
10192,502,France,Female,24,1,100213.19,2,0,0,21149.34,1
10193,657,Germany,Male,67,3,81338.45,3,1,0,112620.84,1
10194,782,France,Male,52,3,43587.68,1,0,0,108347.66,0
10195,667,Germany,Male,38,1,39832.6,4,0,1,110921.16,0
10196,396,France,Male,33,7,26852.18,3,0,0,81884.98,1
10197,706,France,Male,45,9,30132.5,4,0,0,28968.58,0
10198,845,Spain,Female,44,2,25956.52,4,1,0,58338.73,0
10199,600,Germany,Female,48,1,162012.41,2,1,0,44003.73,0
10200,830,Spain,Male,43,3,126809.79,1,0,0,144141.88,0
10201,592,Germany,Male,37,10,7721.63,2,1,0,118541.56,0
10202,609,Germany,Male,53,8,114606.96,3,1,0,137891.15,0
10203,409,France,Male,45,9,82019.81,1,0,0,90697.82,0
10204,657,Germany,Female,36,3,48104.84,1,1,1,18137.38,1
10205,476,France,Male,72,4,95558.9,1,0,0,114475.9,0
10206,621,Spain,Male,26,1,114102.73,2,1,1,60725.15,0
10207,753,Spain,Female,68,9,37517.38,3,0,0,101302.73,0
10208,795,Spain,Female,46,6,54127.08,1,0,0,71303.09,0
10209,828,France,Male,35,0,78933.82,2,1,1,89564.87,0
10210,473,France,Male,66,8,14210.04,4,0,1,32558.03,0
10211,517,France,Female,56,6,80024.92,4,1,1,135861.15,1
10212,688,France,Male,24,0,65102.96,4,1,1,54074.65,0
10213,619,Germany,Female,72,3,31424.44,2,1,1,130586.63,0
10214,702,Spain,Female,41,6,22361.53,3,1,0,137021.73,0
10215,492,France,Male,38,3,86873.52,4,0,0,89941.17,0
10216,801,Spain,Male,40,2,118949.05,3,1,1,32567.63,0
10217,491,Spain,Female,66,9,88320.1,2,1,1,66250.53,0
10218,466,France,Female,33,10,21656.99,1,0,1,81022.38,0
10219,746,Spain,Male,63,0,111841.81,4,0,1,50671.71,0
10220,398,Spain,Male,63,0,79322.96,4,1,1,20545.67,0
10221,767,France,Female,68,9,103050.96,2,0,0,143221.12,0
10222,662,Germany,Female,64,3,135163.87,3,0,0,94631.83,0
10223,658,Germany,Male,22,0,19053.01,1,1,0,81679.84,0
10224,590,Germany,Male,23,5,61939.33,2,1,0,24107.57,0
10225,784,France,Male,70,7,36235.48,1,0,1,82969.73,0
10226,641,Germany,Male,44,3,20705.02,1,0,1,123071.95,0
10227,352,Germany,Female,73,3,182367.3,2,1,1,35359.87,1
10228,526,Spain,Female,27,3,122545.13,3,0,1,138158.74,0
10229,803,Spain,Male,31,5,29362.47,1,1,1,38391.43,0
10230,518,France,Male,43,3,93770.1,1,1,0,28488.62,0
10231,401,Germany,Male,54,10,38636.09,4,1,1,117498.56,0
10232,458,Spain,Male,28,8,134291.68,1,0,0,36085.41,0
10233,361,Spain,Female,23,8,74554.93,4,1,1,133891.7,0
10234,848,France,Female,50,2,60079.95,1,1,1,46975.77,0
10235,407,France,Male,52,1,77874.69,4,1,1,22096.28,1
10236,549,Germany,Male,40,10,91415.38,4,1,0,96719.75,0
10237,476,France,Male,58,3,71573.04,1,1,0,12644.47,0
10238,367,Germany,Male,26,5,57569.64,1,1,0,25322.9,0
10239,620,Spain,Female,60,5,62152.25,4,1,0,91977.18,1
10240,403,France,Male,20,6,98577.73,1,1,1,113954.05,0
10241,379,France,Female,66,7,6596.95,4,0,1,80583.13,0
10242,377,France,Female,73,1,69802.82,3,1,1,126470.68,0
10243,806,Germany,Male,34,0,63187.06,4,0,0,33681.75,0
10244,489,France,Male,41,7,42665.57,2,1,1,122178.62,0
10245,568,France,Male,24,9,111222.09,3,0,1,72941.27,0
10246,577,France,Male,64,8,2426.12,4,1,1,130037.44,0
10247,841,Germany,Female,64,9,49442.07,1,1,1,29440.12,0
10248,840,Spain,Female,35,0,22152.47,1,1,0,85408.68,0
10249,705,France,Male,19,10,100497.89,2,0,1,23083.92,0
10250,774,France,Female,44,2,43704.49,3,1,0,33726.18,0
10251,478,Germany,Female,31,2,72679.54,2,1,1,59399.11,0
10252,457,France,Female,62,8,91519.1,4,1,0,87379.67,1
10253,451,France,Female,31,2,19582.56,1,0,0,88747.72,0
10254,380,France,Male,74,6,95293.19,3,0,1,44024.58,1
10255,758,France,Female,62,9,28024.91,1,1,1,52628.48,0
10256,480,France,Male,54,9,55685.43,3,1,1,145390.46,0
10257,637,Spain,Female,43,5,63650.86,4,0,0,13812.48,0
10258,532,Germany,Male,18,5,115281.14,1,0,0,65793.95,0
10259,397,France,Male,65,2,111332.55,2,0,1,128571.28,0
10260,404,France,Male,48,3,168924.05,4,0,1,105657.3,1
10261,484,Spain,Male,56,0,79885.34,3,1,0,90832.68,1
10262,760,France,Female,23,4,43263.29,3,1,1,31904.69,0
10263,412,France,Female,66,2,41803.95,1,1,1,45489.06,1
10264,832,France,Female,23,6,106606.95,3,1,0,149143.25,0
10265,646,France,Female,62,7,159794.58,4,0,0,89419.7,0
10266,778,Spain,Male,34,3,89087.1,1,1,1,50483.82,0
10267,795,France,Male,68,8,37684.17,4,1,1,140138.6,1
10268,514,France,Female,37,10,85367.59,2,0,0,124411.21,0
10269,533,Spain,Female,33,3,84324.36,1,1,1,115883.71,0
10270,658,Germany,Male,54,6,71820.83,1,1,0,42521.47,0
10271,363,France,Female,38,10,28368.09,1,0,0,66602.45,0
10272,355,France,Male,39,1,72238.56,1,1,1,128145.04,0
10273,819,Spain,Female,53,5,39919.13,3,1,0,49598.48,1
10274,469,France,Female,34,2,128991.87,4,0,0,144958.34,0
10275,765,Germany,Male,51,5,81905.31,1,0,0,68415.91,0
10276,800,France,Male,53,3,53752.64,4,0,0,80696.07,0
10277,367,Germany,Male,62,4,70278.77,1,1,1,117218.65,0
10278,408,Spain,Male,56,1,33505.13,3,0,0,23686.03,1
10279,490,Spain,Male,64,4,181488.23,1,1,1,97038.61,0
10280,404,Germany,Male,37,7,80671.14,1,0,1,94256.07,0
10281,541,France,Male,35,3,2573.51,1,0,0,33477.43,1
10282,737,France,Male,72,1,114706.22,2,1,1,33806.8,0
10283,842,Germany,Male,24,9,26162.38,4,1,0,14049.2,0
10284,593,Spain,Female,58,1,101463.2,1,1,0,61660.47,0
10285,366,France,Female,60,4,71212.87,4,0,0,99894.76,0
10286,739,France,Male,74,2,3887.29,4,1,1,20296.16,0
10287,847,Germany,Male,57,2,107260.74,3,1,0,82229.76,1
10288,794,Germany,Male,53,9,5045.48,1,1,1,34333.69,0
10289,660,Spain,Male,33,4,145109.05,2,0,0,124906.67,0
10290,395,France,Male,55,9,73390.42,2,1,0,19821.05,0
10291,549,France,Female,21,10,12349.87,4,1,1,10762.27,0
10292,819,Spain,Male,45,7,31580.03,4,0,1,103277.13,1
10293,552,Germany,Male,19,7,160555.78,3,1,1,59483.17,0
10294,727,Germany,Male,39,8,151319.83,4,0,1,137462.09,0
10295,682,Spain,Female,32,1,434.81,1,0,1,64352.3,0
10296,520,Spain,Female,73,6,162250.45,4,0,1,120634.27,0
10297,505,Spain,Female,33,4,79364.7,1,0,0,77079.16,1
10298,683,Spain,Female,64,5,57602.37,2,0,0,78506.82,0
10299,499,France,Female,29,5,65127.7,3,0,1,64461.48,0
10300,646,Germany,Female,32,9,54954.23,1,1,0,107849.18,1
10301,745,France,Male,20,0,150184.17,3,0,0,14566.36,0
10302,407,Spain,Male,57,8,78413.45,4,0,0,123650.08,0
10303,511,Spain,Female,27,10,33238.27,2,0,0,102511.86,0
10304,629,Germany,Male,64,9,187283.33,4,1,1,112515.38,1
10305,755,France,Male,37,10,119411.55,3,0,1,24484.38,0
10306,377,France,Female,21,1,8992.72,2,1,0,110374.05,0
10307,519,France,Male,23,1,50030.07,1,1,1,82167.51,0
10308,485,France,Male,50,2,19320.21,4,1,0,110410.95,0
10309,691,Spain,Female,29,6,72611.26,3,1,0,83512.32,0
10310,692,Germany,Male,22,0,92090.92,3,1,1,134647.35,0
10311,350,France,Male,42,3,83344.12,1,0,1,123456.82,0
10312,683,Germany,Female,42,1,36475.12,4,0,1,89881.84,0
10313,620,Germany,Male,66,2,25159.4,4,1,1,148206.54,0
10314,383,France,Male,70,5,117459.2,2,1,1,82799.73,0
10315,570,Spain,Female,67,3,64366.26,4,1,1,58442.93,0
10316,660,Spain,Female,45,6,196106.82,2,1,1,130842.49,0
10317,741,France,Male,41,0,24772.47,2,0,0,36105.3,0
10318,823,France,Male,23,8,114179.81,3,1,0,117515.61,0
10319,654,Spain,Male,25,7,72739.69,4,0,1,86775.03,0
10320,772,Spain,Female,43,6,27413.48,3,1,0,147639.56,0
10321,677,France,Female,33,4,146335.69,3,0,1,16810.04,0
10322,400,Germany,Male,59,9,76922.91,3,0,1,51417.51,0
10323,436,Spain,Male,56,7,19915.86,3,1,0,139343.86,0
10324,757,Spain,Female,61,3,52123.89,3,0,1,91381.18,1
10325,779,France,Male,41,8,127013.26,3,0,1,39589.61,0
10326,394,France,Male,25,10,1358.54,1,0,0,108397.6,0
10327,762,Spain,Female,50,6,147263.89,3,1,1,79111.23,0
10328,760,France,Female,68,5,108394.56,1,1,0,90004.0,1
10329,608,France,Male,59,3,54392.79,4,0,0,34282.67,0
10330,548,Germany,Female,55,3,146048.18,4,1,0,14272.04,0
10331,678,France,Male,55,1,168041.75,4,1,1,136838.26,1
10332,393,Spain,Male,66,0,103575.42,4,1,0,103146.76,0
10333,485,France,Female,66,7,79565.94,1,1,0,145716.13,1
10334,546,Spain,Male,18,6,173582.1,1,0,1,79612.49,0
10335,487,France,Male,22,7,153866.91,1,0,1,47906.09,0
10336,499,Spain,Male,45,9,17990.81,3,1,0,17093.71,0
10337,625,France,Female,34,8,58395.85,4,0,0,87981.06,0
10338,466,France,Female,72,2,57919.59,2,0,1,119127.98,1
10339,570,France,Female,19,1,46940.35,3,0,0,139719.11,0
10340,696,France,Male,56,5,14064.0,1,1,0,62941.06,0
10341,413,France,Female,47,0,120657.84,3,0,1,47848.39,0
10342,396,Germany,Female,26,6,74702.95,2,0,0,43334.75,0
10343,788,France,Male,53,9,75549.24,2,1,0,141120.38,0
10344,687,France,Male,46,8,149135.54,3,1,0,104971.67,0
10345,707,Spain,Male,32,6,38238.79,4,0,0,84598.05,0
10346,527,Spain,Female,25,9,66799.77,3,1,0,138785.63,0
10347,446,Spain,Female,21,1,85399.59,1,1,1,114447.57,0
10348,438,France,Female,71,4,45682.44,2,0,0,84733.16,1
10349,816,France,Female,44,7,63755.47,1,1,1,118186.84,0
10350,594,France,Female,56,10,113109.87,4,0,0,103136.89,0
10351,635,France,Male,27,0,69514.15,2,0,1,115154.15,0
10352,466,France,Male,70,0,144903.29,3,1,1,56899.72,1
10353,584,Germany,Male,29,6,27742.41,4,0,0,108558.8,0
10354,511,France,Female,65,7,81357.16,3,0,0,32669.33,0
10355,782,France,Male,39,6,10339.45,3,0,1,16265.21,0
10356,487,Spain,Female,27,1,63342.89,3,0,0,80109.07,0
10357,401,France,Male,71,7,30442.7,3,0,1,116845.54,0
10358,685,France,Male,27,5,146728.71,4,0,0,41219.91,0
10359,395,Germany,Male,38,1,111941.24,2,0,0,134386.42,0
10360,428,France,Female,30,0,98685.6,1,0,0,75379.75,0
10361,838,Germany,Female,58,9,173999.75,1,1,0,103070.11,0
10362,713,France,Female,72,9,151375.17,2,1,1,131738.58,1
10363,410,Germany,Female,39,10,110506.37,1,1,0,121783.56,0
10364,690,Germany,Male,31,1,31082.36,3,0,0,101293.88,0
10365,574,Germany,Male,41,10,11568.09,1,0,0,48941.97,0
10366,786,France,Male,47,5,68322.48,4,0,1,34841.44,0
10367,838,Spain,Male,25,8,49932.62,1,1,0,89978.36,0
10368,387,Spain,Male,36,7,33484.95,2,0,0,92738.85,0
10369,507,France,Male,28,3,53603.06,3,1,0,93828.68,0
10370,800,France,Female,58,3,23396.71,4,1,1,65552.26,0
10371,813,France,Male,61,10,154188.57,2,1,0,34757.96,0
10372,496,Spain,Female,27,10,5581.18,4,1,1,139701.31,0
10373,431,Spain,Male,42,6,32040.15,4,1,0,104822.65,0
10374,820,France,Male,59,6,102200.96,1,1,1,106737.21,0
10375,792,Spain,Female,34,7,22008.41,4,1,1,13390.32,0
10376,451,France,Male,25,9,122072.94,1,0,1,84298.67,0
10377,350,Germany,Male,74,7,123032.54,3,1,0,84524.81,0
10378,654,France,Male,33,2,52322.72,4,0,0,20577.22,0
10379,602,Spain,Male,68,2,9027.13,1,1,0,40364.43,0
10380,471,France,Male,38,10,43196.47,2,1,0,31992.38,0
10381,817,France,Female,33,9,34714.48,2,1,1,96572.81,0
10382,789,Germany,Male,33,2,148566.44,1,1,1,131981.91,0
10383,739,France,Female,42,7,73069.93,1,1,1,98313.97,0
10384,350,France,Male,54,4,28311.21,2,0,1,55647.98,0
10385,690,France,Female,50,2,18604.62,3,0,1,128549.31,0
10386,363,Spain,Male,58,6,102493.26,1,1,0,87004.12,0
10387,588,Spain,Female,27,4,155154.12,2,1,1,124997.28,0
10388,778,Spain,Female,58,9,2170.43,3,0,1,91490.96,0
10389,737,Spain,Male,42,1,37429.4,4,1,1,32352.27,0
10390,650,Germany,Male,68,7,29677.14,2,1,0,69922.17,0
10391,707,Spain,Male,34,4,108312.22,2,1,0,47343.99,0
10392,425,Germany,Male,47,10,78874.81,1,0,0,53929.84,0
10393,430,Germany,Male,64,10,198106.46,4,0,1,17808.33,1
10394,675,France,Male,26,5,63054.02,4,1,0,117983.36,0
10395,708,France,Female,23,4,45283.46,2,1,0,88906.3,0
10396,737,Spain,Male,67,8,29762.87,4,0,0,54773.05,0
10397,755,France,Female,74,4,118411.01,3,0,0,109979.14,1
10398,446,Spain,Female,38,4,22430.37,4,1,1,76088.72,0
10399,687,Germany,Male,31,8,112599.59,2,0,0,20244.05,0
10400,473,France,Female,63,0,84012.27,2,1,1,122506.27,0
10401,467,Spain,Female,36,0,41299.4,4,1,1,123203.86,0
10402,718,France,Male,42,2,18741.16,1,1,0,87528.49,0
10403,545,Germany,Female,22,1,129904.31,1,1,0,100466.02,0
10404,622,France,Male,19,0,175756.42,1,0,0,88503.47,0
10405,455,Spain,Female,70,8,44668.83,1,0,1,50487.68,1
10406,540,Germany,Male,22,0,100084.06,1,0,0,17880.13,0
10407,536,Spain,Male,65,1,169042.14,1,1,1,100777.58,0
10408,360,France,Male,63,0,34751.07,1,1,0,49471.56,0
10409,553,Spain,Male,21,6,55678.5,2,0,1,113950.68,0
10410,400,Germany,Female,74,1,620.28,3,0,0,53118.88,1
10411,752,Germany,Male,48,8,61594.53,3,1,0,64108.21,0
10412,364,Spain,Female,43,7,65362.28,4,1,0,136532.97,1
10413,723,France,Female,40,6,46194.84,2,0,1,25586.63,0
10414,389,France,Male,28,2,27934.05,3,0,0,47106.19,0
10415,438,Germany,Female,52,0,20115.1,4,1,1,106928.81,0
10416,502,Spain,Male,70,10,6573.55,2,0,0,69777.86,0
10417,753,France,Female,37,2,14367.39,3,0,0,131497.48,0
10418,751,Germany,Female,33,4,106517.96,2,0,1,27305.46,0
